03.Aug.2019 Kerio VPN client 'Barkol.comp142;81.200.17.59;00:01:32
04.Aug.2019 Kerio VPN client 'VPNServer;81.200.17.59;00:45:55
05.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:00:57
05.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:14:43
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;1 day 10:42:02
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:00:17
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:00:17
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:16:37
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:43:50
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:02:12
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:01:27
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:01:14
06.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:17:46
07.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;11:56:26
07.Aug.2019 Kerio VPN client 'VPNServer;192.168.0.230;00:29:49
07.Aug.2019;VPNServer;192.168.0.230;00:04:15
07.Aug.2019;VPNServer;192.168.0.230;00:00:45
11.Aug.2019;VPNServer;192.168.0.230;4 days 01:56:05
09.Oct.2019;VPNServer;192.168.0.230;00:00:31
10.Oct.2019 Kerio VPN client 'VPNServer;185.218.109.154;05:42:58
12.Oct.2019 Kerio VPN client 'VPNServer;185.218.109.154;1 day 23:13:28
13.Oct.2019 Kerio VPN client 'VPNServer;185.218.109.154;13:46:58
13.Oct.2019 Kerio VPN client 'VPNServer;185.218.109.154;00:05:58
15.Oct.2019 Kerio VPN client 'VPNServer;185.218.109.154;2 days 08:59:58
15.Oct.2019 Kerio VPN client 'VPNServer;185.218.109.154;00:27:28
19.Oct.2019 Kerio VPN client 'VPNServer;185.218.109.154;4 days 00:44:28
20.Oct.2019 Kerio VPN client 'VPNServer;185.218.109.154;18:55:52
20.Oct.2019;VPNServer;185.218.109.154;00:02:25
20.Oct.2019;VPNServer;185.218.109.154;02:53:04
22.Oct.2019;VPNServer;185.218.109.154;02:33:04
27.Oct.2019;VPNServer;185.218.109.154;00:14:31
28.Oct.2019;VPNServer;185.218.109.154;17:47:08
29.Oct.2019;VPNServer;185.218.109.154;14:05:07
30.Oct.2019;VPNServer;185.218.109.154;1 day 02:23:12
30.Oct.2019;VPNServer;185.218.109.154;15:05:08
31.Oct.2019;VPNServer;185.218.109.154;02:34:04
31.Oct.2019;VPNServer;185.218.109.154;12:42:48
